# Bottled Water pH Claims on Labels (Marketing Claims, Not Measured Readings)

| Brand/Product | Claimed pH on Label | Claim Wording | Claim Context | Notes |
| --- | --- | --- | --- | --- |
| Essentia | 9.5 | "pH 9.5 or higher" | Enhanced water | Label/marketing claim |
| Icelandic Glacial | 8.4 | "Naturally alkaline pH 8.4" | Spring water | Claim may differ from test results |
| Smartwater Alkaline | 9.0 | "alkaline pH" | Enhanced water | Often mineral-added |
| Core Hydration | 7.4 | "perfectly balanced" | Purified water | Claim varies by batch |
| Flow Alkaline Spring Water | 8.1 | "naturally alkaline" | Spring water | Label-based |
| LIFEWTR | 6.5–8.5 | "varies by source" | Purified water | Range stated, not a reading |
| Perrier | N/A | "sparkling mineral water" | Carbonated | No pH listed |
| Fiji | N/A | "soft, smooth taste" | Artesian | No pH listed |
| VOSS | N/A | "artesian" | Still water | No pH listed |
| Acqua Panna | N/A | "natural spring water" | Still water | No pH listed |
