# 2008 NASCAR Sprint All - Star Race
> Eligible 2008 drivers

| No. | Driver | Entry Win/Championship |
| --- | --- | --- |
| 44 | Dale Jarrett + | 1999 Champion |
| 43 | Bobby Labonte | 2000 Champion |
| 24 | Jeff Gordon | Four-Time Series Champion, most recently 2001 |
| 17 | Matt Kenseth | 2003 Champion |
| 2 | Kurt Busch | 2004 Champion |
| 20 | Tony Stewart | Two-Time Series Champion, most recently 2005 |
| 48 | Jimmie Johnson | Two-Time Series Champion, most recently 2007 |
| 88 | Dale Earnhardt, Jr. § | 2000 The Winston |
| 12 | Ryan Newman | 2002 The Winston |
| 8 | Mark Martin § | 2005 Nextel All-Star Challenge |
| 26 | Jamie McMurray | 2007 Pepsi 400 |
| 29 | Kevin Harvick ≠ | 2007 Daytona 500 |
| 18 | Kyle Busch ± | 2007 Food City 500 |
| 5 | Casey Mears ± | 2007 Coca-Cola 600 |
| 31 | Jeff Burton | 2007 Samsung 500 |
| 1 | Martin Truex, Jr. | 2007 Autism Speaks 400 presented by Visa |
| 99 | Carl Edwards | 2007 Citizens Bank 400 |
| 42 | Juan Pablo Montoya | 2007 Toyota/Save Mart 350 |
| 11 | Denny Hamlin | 2007 Lenox Industrial Tools 300 |
| 07 | Clint Bowyer | 2007 Sylvania 300 |
| 16 | Greg Biffle | 2007 LifeLock 400 |
