# State Income Tax Return Extension Handling (Automatic vs. Federal Extension Acceptance)

| State | Automatic Extension Granted? | Federal Extension Accepted for State? | What Must Be Filed for the Extension | Extended Return Due Date (Typical) | Notes / Conditions |
|---|---|---|---|---|---|
| California | Yes (if paid on time) | No (federal extension not used as the state extension request) | No separate state extension form if payment made by original due date | Oct 15 | Extension is for filing only; payment due by original deadline |
| New York | No | No | State extension form required (e.g., IT-370) | Oct 15 | If tax is owed, payment should accompany the extension request |
| Massachusetts | Yes (automatic) | No | No separate form if conditions met | Oct 15 | Typically requires payment of a threshold of tax by original due date |
| Colorado | Yes (automatic) | Yes | No state form required if using federal extension approach | Oct 15 | Still pay any expected tax by original deadline to avoid interest |
| Arizona | No | Yes | Attach/submit federal extension information or state extension request | Oct 15 | Filing extension does not extend time to pay |
| Wisconsin | No | Yes | Use federal extension; may need to include a copy when filing | Oct 15 | Interest applies to unpaid tax after original due date |
| Alabama | No | Yes | State extension request or recognize federal extension | Oct 15 | State may require an extension payment voucher if tax due |
| Connecticut | No | No | CT extension request required (state form) | Oct 15 | Extension generally conditioned on timely payment of expected tax |
| South Carolina | Yes (automatic) | Yes | No separate request if federal extension filed | Oct 15 | Payment due by original deadline; extension is for filing only |
| Oregon | No | Yes | Federal extension accepted; may require notation when filing | Oct 15 | If you owe, pay by original deadline to limit penalties/interest |
