# 2016 NFL Draft Day 2–3 Prospect Rankings (Overall Board Snippet)

| Board Rank | Player | Position | Round Projection |
|---:|---|---|---|
| 31 | Michael Thomas | WR | 2 |
| 32 | Kevin Dodd | EDGE | 2 |
| 33 | Chris Jones | DT | 2 |
| 34 | Derrick Henry | RB | 2 |
| 35 | Mackensie Alexander | CB | 2 |
| 36 | Jaylon Smith | LB | 2 |
| 37 | Devontae Booker | RB | 3 |
| 38 | Noah Spence | EDGE | 2-3 |
| 39 | C.J. Prosise | RB | 3 |
| 40 | Austin Hooper | TE | 2-3 |
| 41 | Cody Whitehair | OG | 2-3 |
| 42 | Tyler Boyd | WR | 2-3 |
| 43 | Vernon Butler | DT | 2 |
| 44 | Dak Prescott | QB | 3 |
| 45 | Jordan Howard | RB | 4 |
