# Police & Public Safety Recruitment (Mixed Education Requirements)

| Agency | Position | Location | Openings | Education Requirement | Recruitment Stage |
|---|---|---|---:|---|---|
| City Police Department | Patrol Officer | Houston, TX | 45 | 12th / GED | Written + Academy |
| Airport Police | Police Recruit | DFW, TX | 30 | 12th + driver license | Background + Training |
| State Highway Patrol | Trooper | Austin, TX | 60 | Associate/Diploma preferred | Physical + CBT |
| County Sheriff Office | Deputy Sheriff | San Antonio, TX | 25 | 12th | Medical + Interview |
| Fire & Rescue Dept | Firefighter | Dallas, TX | 40 | 12th + EMT | Physical + Academy |
| Corrections Department | Correctional Officer | El Paso, TX | 70 | 10th/12th | Screening |
| Emergency Services | 911 Dispatcher | Fort Worth, TX | 18 | 12th | Typing test |
| Transit Police | Security Officer | Plano, TX | 22 | 10th/12th | Interview |
| State Police | Cyber Crime Analyst | Remote | 12 | Graduate | Technical interview |
| Campus Police | Police Officer | Arlington, TX | 10 | 12th | Academy |
| Marine Unit | Water Patrol Officer | Galveston, TX | 8 | 12th | Swim test |
