# Common Monatomic Ions (Name ↔ Charged Formula) for Quick Cation Anion Identification

| Category | Ion name | Charged formula |
|---|---|---|
| Cation | Sodium ion | Na+ |
| Cation | Magnesium ion | Mg2+ |
| Cation | Aluminum ion | Al3+ |
| Cation | Potassium ion | K+ |
| Cation | Calcium ion | Ca2+ |
| Cation | Iron(II) ion | Fe2+ |
| Cation | Iron(III) ion | Fe3+ |
| Cation | Copper(II) ion | Cu2+ |
| Anion | Fluoride ion | F- |
| Anion | Chloride ion | Cl- |
| Anion | Oxide ion | O2- |
| Anion | Sulfide ion | S2- |
| Anion | Nitride ion | N3- |
