# Java Edition Minecraft Servers (Host Port Addresses)

| Category | Server Name | Address (host:port) | Region | Notes |
| --- | --- | --- | --- | --- |
| Mini-games | Hypixel Network | mc.hypixel.net:25565 | Global | Explicit default port included |
| Mini-games | CubeCraft Games | play.cubecraft.net:25565 | EU/NA | Java network address |
| Survival | PrimeMC | play.primemc.org:25566 | NA | Non-default port |
| Prison | Purple Prison | purpleprison.net:25565 | EU | Prison gameplay |
| Prison | MomentoNetwork | mc.momentonetwork.net:25570 | NA | Uses custom port |
| Factions | Snapcraft | mc.snapcraft.net:25565 | Global | Explicit default port included |
| Vanilla | Minecove | minecove.org:25580 | NA | Non-default port |
| Legacy (1.6.4) | R3Gaming | r3gaming.net:25565 | NA | Seen on older-version lists |
| Legacy (1.6.4) | MilspecsG BTeam | bteam.milspecsg.com:25570 | NA | Non-default port |
| Pocket/Alt | Eleet Survival (bridge) | eleet.leet.cc:10557 | Mixed | Port required to connect |
