# Mickey Mouse Clubhouse
> Home media releases

| Title | Episodes | Release Date | UPC |
| --- | --- | --- | --- |
| Mickey Mouse Clubhouse: Mickey Saves Santa | Mickey Saves Santa Goofy's Bird Mickey-Go-Seek | November 14, 2006 | 786936704266 |
| Mickey Mouse Clubhouse: Mickey's Great Clubhouse Hunt | Mickey's Great Clubhouse Hunt (double length) Donald's Hiccups (bonus episode) | March 20, 2007 | 786936715149 |
| Mickey Mouse Clubhouse: Mickey's Treat | Mickey's Treat Goofy the Great Doctor Daisy, M.D. | August 28, 2007 | 786936743548 |
| Mickey Mouse Clubhouse: Mickey's Storybook Surprises | Minnie's Mystery Donald the Frog Prince Minnie Red Riding Hood Sleeping Minnie | February 24, 2009 | 786936764581 |
| Mickey Mouse Clubhouse: Mickey's Big Splash [4] | Donald's Ducks Pluto's Bubble Bath Mickey Goes Fishing Pete's Beach Blanket Luau | October 5, 2009 | 786936789355 |
| Mickey Mouse Clubhouse: Mickey's Adventures in Wonderland | Mickey's Adventures In Wonderland Goofy Goes Goofy | December 1, 2009 | 786936746792 |
| Mickey Mouse Clubhouse: Choo-Choo Express [5] | Choo-Choo Express Mickey's Big Job | December 9, 2009 | 786936787849 |
| Mickey Mouse Clubhouse: Minnie's Bow-Tique | Minnie's Pajama Party Minnie's Bow-Tique Minnie's Bee Story Minnie's Picnic | February 9, 2010 | 786936796445 |
| Mickey Mouse Clubhouse: Road Rally (71 min) | Road Rally Pluto Lends a Paw | September 7, 2010 | 786936804225 |
| Mickey Mouse Clubhouse: Numbers Round-Up | Mickey's Round-Up Daisy Bo-Peep Mickey's Big Surprise Super Goof's Super Puzzle Mickey's Show and Tell | November 16, 2010 | 786936804348 |
| Mickey Mouse Clubhouse: Minnie's Masquerade | Minnie's Masquerade Minnie's Mouseke-Calendar A Surprise For Minnie Secret Spy Daisy The Friendship Team | February 8, 2011 | 786936804468 |
| Mickey Mouse Clubhouse: Mickey's Great Outdoors | Mickey's Camp Out Mickey and Minnie's Jungle Safari Mickey's Fishy Story (bonus episode) Daisy in the Sky Daisy's Grasshopper | May 24, 2011 | 786936813869 |
| Mickey Mouse Clubhouse: Space Adventure | Space Adventure Goofy's Thinking Cap | November 8, 2011 | 918968246810 |
| Mickey Mouse Clubhouse: I Heart Minnie | Episode 010 – Minnie's Birthday Episode 011 – Daisy's Dance Episode 035 – Daisy's Pet Project Episode 053 – Minnie's Rainbow Episode 093 – Minnie and Daisy's Flower Shower | February 7, 2012 | 786936819717 |
| Mickey Mouse Clubhouse: Mickey & Donald Have a Farm | Episode 100 – Mickey and Donald Have A Farm Episode 027 – Goofy's Petting Zoo Episode 062 – Clarabelle's Clubhouse Mooo-sical Episode 030 – Goofy the Home Maker Episode 081 – Donald Hatches an Egg | December 11, 2012 | 786936832358 |
| Mickey Mouse Clubhouse: Quest for the Crystal Mickey | Episode 101 – Quest For the Crystal Mickey Episode 074 – Donald of the Desert Episode 097 – Donald the Genie Episode 059 – Goofy's Coconutty Monkey Episode 073 – Goofy's Giant Adventure | May 21, 2013 | 786936834055 |
| Mickey Mouse Clubhouse: Minnie's the Wizard of Dizz | Episode 103 – Minnie's the Wizard of Dizz Episode 087 – The Golden Boo Boo Episode 092 – Goofy's Gone Ten episodes of "Minnie's Bow-Toons" | February 5, 2013 | 786936832396 |
| Mickey Mouse Clubhouse: Super Adventure ! | Episode 105 – Super Adventure Episode 082 – Aye, Aye, Captain Mickey Episode 083 – Mickey's Mousekersize Episode 095 – Mickey's Little Parade | December 3, 2013 | 786936838121 |
| Mickey Mouse Clubhouse: Around the Clubhouse World | Episode 115 – Around the Clubhouse World Episode 006 – Donald and the Beanstalk Episode 008 – Goofy On Mars Episode 029 – Mickey's Handy Helpers Episode 094 – Pluto's Dinosaur Romp | February 11, 2014 | 786936837247 |
