# Mortgage-Related Derivatives & Index Rates (ARM Indices, MBS Yields)

| Instrument / Index | Current Level | 1-Day Change | Typical Use | Not a Lender Offer Because |
| --- | --- | --- | --- | --- |
| 1-Month SOFR | 5.32% | -0.01 | ARM index | Not a mortgage product |
| 6-Month SOFR | 5.18% | +0.02 | ARM index | Index only, no lender margin |
| 1-Year CMT (Treasury) | 4.85% | +0.03 | ARM index | Benchmark, not loan terms |
| 5-Year CMT (Treasury) | 4.05% | +0.05 | ARM index | Benchmark, not loan terms |
| 10-Year CMT (Treasury) | 3.95% | +0.04 | Market reference | Benchmark only |
| FNMA 30-Year MBS Current Coupon | 5.65% | +0.06 | MBS pricing | Security yield, not consumer rate |
| GNMA 30-Year MBS Current Coupon | 5.72% | +0.05 | FHA/VA market | Not retail APR |
| Primary/Secondary Mortgage Spread (Model) | 1.85% | -0.01 | Market analytics | Derived metric |
| Mortgage Rate Lock Index (Synthetic) | 5.90% | +0.02 | Rate sentiment | Not a quoted lender rate |
