# U.S. State Gasoline Tax Rates (State Portion Only; Federal Tax Not Included)

| Census region | State | Gasoline tax (¢/gal, state-only; excludes federal 18.4¢) | Type | Footnote |
|---|---|---:|---|---|
| Northeast | Connecticut | 25.0 | Per-gallon excise | Federal tax excluded |
| Northeast | Massachusetts | 24.0 | Per-gallon excise | State portion only |
| Northeast | New Hampshire | 22.2 | Per-gallon excise | Excludes federal excise |
| Northeast | New Jersey | 31.8 | Per-gallon excise | No federal included |
| Midwest | Iowa | 30.0 | Per-gallon excise | State-only rate |
| Midwest | Kansas | 24.0 | Per-gallon excise | Federal excluded |
| Midwest | Michigan | 28.6 | Per-gallon excise | State-only figure |
| Midwest | Nebraska | 30.0 | Per-gallon excise | Excludes federal 18.4¢ |
| South | Oklahoma | 19.0 | Per-gallon excise | State tax only |
| South | South Carolina | 28.0 | Per-gallon excise | Federal not included |
| West | Nevada | 23.0 | Per-gallon excise | State-only rate |
| West | Oregon | 40.0 | Per-gallon excise | Excludes federal tax |
