# List of songs in Guitar Hero III  Legends of Rock (selected setlist)

| Year | Track title | Performed by | Appears in-game as |
| --- | --- | --- | --- |
| 1973 | "The Seeker" | The Who | Cover recording for game |
| 1975 | "Rock and Roll All Nite" | Kiss | Original artist song |
| 1987 | "Welcome to the Jungle" | Guns N' Roses | Original artist song |
| 1991 | "Black Magic Woman" | Santana | Cover recording for game |
| 1991 | "Even Flow" | Pearl Jam | Cover recording for game |
| 1992 | "Cult of Personality" | Living Colour | Original artist song |
| 1996 | "My Name Is Jonas" | Weezer | Cover recording for game |
| 2003 | "Hit Me with Your Best Shot" | Pat Benatar | Cover recording for game |
| 2006 | "Before I Forget" | Slipknot | Original artist song |
| 2007 | "Knights of Cydonia" | Muse | Original artist song |
