# Confederate States of America (CSA) member states and secession dates

| State | Date of secession (from the U.S.) | Notes |
|---|---|---|
| South Carolina | Dec 20, 1860 | First to secede |
| Mississippi | Jan 9, 1861 |  |
| Florida | Jan 10, 1861 |  |
| Alabama | Jan 11, 1861 |  |
| Georgia | Jan 19, 1861 |  |
| Louisiana | Jan 26, 1861 |  |
| Texas | Feb 1, 1861 |  |
| Virginia | Apr 17, 1861 |  |
| Arkansas | May 6, 1861 |  |
| Tennessee | Jun 8, 1861 |  |
| North Carolina | May 20, 1861 |  |
