# State Comparison  Refinance Rates by Loan Product (Fixed, 15-Year, and ARM)

| State | 30-Year Fixed Refi Rate | 30-Year Fixed Daily Change (bps) | 15-Year Fixed Refi Rate | 15-Year Daily Change (bps) | 5/1 ARM Refi Rate | 5/1 ARM Daily Change (bps) |
| --- | --- | --- | --- | --- | --- | --- |
| Alabama | 6.74% | +1 | 6.09% | 0 | 6.22% | +2 |
| Alaska | 6.96% | +2 | 6.28% | +1 | 6.41% | +2 |
| Arizona | 6.84% | +2 | 6.16% | +1 | 6.29% | +1 |
| Arkansas | 6.69% | 0 | 6.03% | -1 | 6.18% | +1 |
| California | 6.82% | +3 | 6.14% | +2 | 6.27% | +1 |
| Colorado | 6.73% | -2 | 6.05% | -1 | 6.21% | 0 |
| Connecticut | 6.88% | +1 | 6.20% | +1 | 6.33% | +2 |
| Delaware | 6.77% | 0 | 6.11% | 0 | 6.24% | +1 |
| Florida | 6.89% | +4 | 6.22% | +2 | 6.36% | +3 |
| Georgia | 6.86% | +1 | 6.18% | +1 | 6.31% | +2 |
| Illinois | 6.76% | 0 | 6.08% | -1 | 6.23% | 0 |
| Massachusetts | 6.77% | +2 | 6.10% | +1 | 6.25% | +1 |
