# Water pH by Product Category (Not Distinct Brands)  Typical Ranges and Notes

| Category | Typical pH Range | What It Usually Is | Common Processing | Context Notes |
|---|---|---|---|---|
| Distilled water | 5.5–7.0 | Condensed steam | Distillation | Absorbs CO2 after opening |
| Reverse osmosis water | 5.5–7.5 | Highly filtered | RO + remineralization sometimes | Depends on post-treatment |
| Purified water (generic) | 6.0–8.0 | Municipal-derived | Carbon/UV/ozone | Wide variability |
| Spring water (generic) | 6.5–8.5 | Natural spring source | Minimal treatment | Mineral content varies |
| Mineral water (generic) | 6.0–8.5 | Mineral-rich | Bottled at source | Buffering can be high |
| Artesian water (generic) | 7.0–9.0 | Confined aquifer | Minimal/varies | Often marketed as alkaline |
| Alkaline-enhanced water | 8.0–10.0 | Purified + additives | Electrolytes/ionization | Method varies by producer |
| Sparkling water (generic) | 3.0–5.5 | Carbonated water | CO2 injection/natural | Typically more acidic |
| Flavored water (generic) | 2.5–4.5 | Water + acids/flavors | Acidulants added | Usually acidic |
| Fitness/electrolyte drinks | 2.8–4.0 | Water + additives | Acidulants + salts | Not plain water |
| Reminder | — | — | — | Categories are not brands |
