# 2008 Alabama Crimson Tide football team
> Coaching staff

| Name | Position | Year at Alabama | Alma Mater (Year) |
| --- | --- | --- | --- |
| Nick Saban | Head Coach | 2nd | Kent State (1973) |
| Burton Burns | Associate Head Coach Running Backs | 2nd | Nebraska (1976) |
| Joe Pendry | Assistant Head Coach- Offense / Offensive Line | 2nd | West Virginia (1969) |
| Kirby Smart | Defense Coordinator / Secondary | 2nd | Georgia (1999) |
| Jim McElwain | Offensive Coordinator / Quarterbacks | 1st | Eastern Washington (1984) |
| Kevin Steele | Associate Head Coach/Head Defensive Coach-Inside Linebackers | 2nd | Tennessee (1981) |
| Curt Cignetti | Receivers / Recruiting Coordinator | 2nd | West Virginia (1983) |
| Bobby Williams | Tight Ends /Special Teams | 1st | Purdue (1982) |
| Bo Davis | Defensive Line | 2nd | LSU (1993) |
| Lance Thompson | Outside Linebackers | 2nd | The Citadel (1987) |
