# National Football League Rookie of the Year Award
> Associated Press NFL ROTY Award

| Season | Player | Team | Position |
| --- | --- | --- | --- |
| 1967 | Farr, Mel Mel Farr | Detroit Lions | Running back |
| 1968 | McCullouch, Earl Earl McCullouch | Detroit Lions | Wide receiver |
| 1969 | Hill, Calvin Calvin Hill | Dallas Cowboys | Running back |
| 1970 | Shaw, Dennis Dennis Shaw | Buffalo Bills | Quarterback |
| 1971 | Brockington, John John Brockington | Green Bay Packers | Running back |
| 1972 | Harris, Franco Franco Harris | Pittsburgh Steelers | Running back |
| 1973 | Foreman, Chuck Chuck Foreman | Minnesota Vikings | Running back |
| 1974 | Woods ! Don Woods | San Diego Chargers | Running back |
| 1975 | Thomas ! Mike Thomas | Washington Redskins | Running back |
| 1976 | White ! Sammy White | Minnesota Vikings | Wide receiver |
| 1977 | Dorsett, Tony Tony Dorsett | Dallas Cowboys | Running back |
| 1978 | Campbell ! Earl Campbell | Houston Oilers | Running back |
| 1979 | Anderson ! Ottis Anderson | St. Louis Cardinals | Running back |
| 1980 | Sims ! Billy Sims | Detroit Lions | Running back |
| 1981 | Rogers ! George Rogers | New Orleans Saints | Running back |
| 1982 | Allen ! Marcus Allen | Los Angeles Raiders | Running back |
| 1983 | Dickerson ! Eric Dickerson | Los Angeles Rams | Running back |
| 1984 | Lipps ! Louis Lipps | Pittsburgh Steelers | Wide receiver |
| 1985 | Brown ! Eddie Brown | Cincinnati Bengals | Wide receiver |
| 1986 | Mayes ! Rueben Mayes | New Orleans Saints | Running back |
| 1987 | Stradford ! Troy Stradford | Miami Dolphins | Running back |
| 1988 | Stephens ! John Stephens | New England Patriots | Running back |
| 1989 | Sanders ! Barry Sanders | Detroit Lions | Running back |
| 1990 | Smith ! Emmitt Smith | Dallas Cowboys | Running back |
| 1991 | Russell ! Leonard Russell | New England Patriots | Running back |
| 1992 | Pickens ! Carl Pickens | Cincinnati Bengals | Wide receiver |
| 1993 | Bettis ! Jerome Bettis | Los Angeles Rams | Running back |
| 1994 | Faulk ! Marshall Faulk | Indianapolis Colts | Running back |
| 1995 | Martin ! Curtis Martin | New England Patriots | Running back |
| 1996 | George ! Eddie George | Houston Oilers | Running back |
| 1997 | Dunn ! Warrick Dunn | Tampa Bay Buccaneers | Running back |
| 1998 | Moss ! Randy Moss | Minnesota Vikings | Wide receiver |
| 1999 | James ! Edgerrin James | Indianapolis Colts | Running back |
| 2000 | Anderson ! Mike Anderson | Denver Broncos | Running back |
| 2001 | Thomas ! Anthony Thomas | Chicago Bears | Running back |
| 2002 | Portis ! Clinton Portis | Denver Broncos | Running back |
| 2003 | Boldin ! Anquan Boldin | Arizona Cardinals | Wide receiver |
| 2004 | Roethlisberger ! Ben Roethlisberger | Pittsburgh Steelers | Quarterback |
| 2005 | Williams, Cadillac Cadillac Williams | Tampa Bay Buccaneers | Running back |
| 2006 | Young ! Vince Young | Tennessee Titans | Quarterback |
| 2007 | Peterson ! Adrian Peterson | Minnesota Vikings | Running back |
| 2008 | Ryan ! Matt Ryan | Atlanta Falcons | Quarterback |
| 2009 | Harvin ! Percy Harvin | Minnesota Vikings | Wide receiver |
| 2010 | Bradford ! Sam Bradford | St. Louis Rams | Quarterback |
| 2011 | Newton ! Cam Newton | Carolina Panthers | Quarterback |
| 2012 | Griffin ! Robert Griffin III [6] | Washington Redskins | Quarterback |
| 2013 | Lacy ! Eddie Lacy | Green Bay Packers | Running back |
| 2014 | Beckham Jr. ! Odell Beckham Jr. | New York Giants | Wide receiver |
| 2015 | Gurley ! Todd Gurley | St. Louis Rams | Running back |
