# Zombie survival games on Nintendo platforms and handhelds (selected titles and supported systems)

| Title | Release window | Platform(s) |
| --- | --- | --- |
| Resident Evil: The Mercenaries 3D | 2011 | Nintendo 3DS |
| Resident Evil Revelations | 2012 | Nintendo 3DS |
| Resident Evil: Revelations Collection | 2017 | Nintendo Switch |
| Zombie Panic in Wonderland | 2009 | Wii |
| ZombiU | 2012 | Wii U |
| World War Z | 2019 | Nintendo Switch |
| The House of the Dead: Remake | 2022 | Nintendo Switch |
| Plants vs. Zombies | 2009 | Nintendo DS, DSiWare |
| Stubbs the Zombie in Rebel Without a Pulse | 2021 | Nintendo Switch |
