# Common Industrial Liquids — Specific Gravity (SG) Lookup Table (Reference Temperature Included)

| Liquid | Reference Temperature (°C) | Specific Gravity (SG) |
|---|---:|---:|
| Water | 20 | 1.000 |
| Seawater (avg.) | 20 | 1.025 |
| Ethanol (ethyl alcohol) | 20 | 0.789 |
| Methanol | 20 | 0.792 |
| Isopropyl alcohol (IPA) | 20 | 0.786 |
| Acetone | 20 | 0.791 |
| Glycerin (glycerol) | 20 | 1.261 |
| Ethylene glycol | 20 | 1.113 |
| Propylene glycol | 20 | 1.036 |
| Kerosene | 15 | 0.81 |
| Diesel fuel | 15 | 0.84 |
| Gasoline (petrol) | 15 | 0.74 |
| Mineral oil (light) | 15 | 0.85 |
