# Guitar Hero II — Playable Soundtrack (Selected Track List)

| Tier | Song title | Performer |
| --- | --- | --- |
| Opening | "Strutter" | Kiss |
| Opening | "Mother" | Danzig |
| Opening | "Woman" | Wolfmother |
| Mid-set | "Search and Destroy" | Iggy Pop and The Stooges |
| Mid-set | "Shout at the Devil" | Mötley Crüe |
| Mid-set | "Surrender" | Cheap Trick |
| Late-set | "Killing in the Name" | Rage Against the Machine |
| Late-set | "War Pigs" | Black Sabbath |
| Encore | "Free Bird" | Lynyrd Skynyrd |
| Encore | "Psychobilly Freakout" | The Reverend Horton Heat |
