# Highest-Grossing Films of 1994 (Worldwide Box Office Ranking)

| Rank | Film | Distributor | Worldwide box office (USD) |
|---:|---|---|---:|
| 1 | The Lion King | Disney | 968500000 |
| 2 | Forrest Gump | Paramount | 678200000 |
| 3 | true Lies | 20th Century Fox | 378900000 |
| 4 | The Mask | New Line Cinema | 351600000 |
| 5 | Speed | 20th Century Fox | 350400000 |
| 6 | Four Weddings and a Funeral | Gramercy Pictures | 245700000 |
| 7 | Interview with the Vampire | Warner Bros. | 223700000 |
| 8 | The Flintstones | Universal Pictures | 341600000 |
| 9 | Dumb and Dumber | New Line Cinema | 247300000 |
| 10 | Clear and Present Danger | Paramount | 215900000 |
