# New Hampshire Presidential Primary (Republican) — Winners and Runners-up by Year

| Primary date | Party contest | Winner (first place) | Runner-up | Notes |
|---|---|---|---|---|
| Jan 23, 2024 | Republican | Donald Trump | Nikki Haley | High-profile rematch-style field after Iowa |
| Feb 11, 2020 | Republican | Donald Trump | Bill Weld | Incumbent president faced limited opposition |
| Feb 9, 2016 | Republican | Donald Trump | John Kasich | Multi-candidate field; pivotal for momentum |
| Jan 10, 2012 | Republican | Mitt Romney | Ron Paul | Romney regained footing after earlier contests |
| Jan 8, 2008 | Republican | John McCain | Mitt Romney | Considered a decisive win for McCain’s comeback |
| Jan 27, 2004 | Republican | George W. Bush | (No major opponent) | Incumbent essentially uncontested |
| Feb 1, 2000 | Republican | John McCain | George W. Bush | Major upset in a competitive nomination fight |
| Feb 23, 1996 | Republican | Pat Buchanan | Bob Dole | Surprise win that tightened the race |
| Feb 18, 1992 | Republican | George H. W. Bush | Pat Buchanan | Strong but challenged incumbent showing |
