# State Capital Gains Tax (Single Effective Rate by State, High-Income Scenario)

| State | Effective Capital Gains Rate | Scenario Assumption | Notes |
| --- | --- | --- | --- |
| Alabama | 5.00% | High-income filer | Uses flat treatment assumption |
| Alaska | 0.00% | High-income filer | No state income tax |
| Arizona | 2.50% | High-income filer | Assumes partial exclusion |
| California | 13.30% | High-income filer | Taxes gains as ordinary income |
| Colorado | 4.40% | High-income filer | Flat income tax state |
| Florida | 0.00% | High-income filer | No state income tax |
| Georgia | 5.75% | High-income filer | Ordinary income treatment |
| Hawaii | 11.00% | High-income filer | Highest bracket applied |
| Minnesota | 9.85% | High-income filer | Top bracket applied |
| Nevada | 0.00% | High-income filer | No state income tax |
| New York | 10.90% | High-income filer | State-level only |
| Texas | 0.00% | High-income filer | No state income tax |
