# Judgment of Paris ( wine )
> The results

| Rank | Grade | Wine | Vintage | Origin |
| --- | --- | --- | --- | --- |
| 1. | 17 | Ridge Vineyards Monte Bello | 1971 | USA |
| 2. | 15 | Heitz Wine Cellars Martha's Vineyard | 1970 | USA |
| 3. | 14 | Château Montrose | 1970 | France |
| 3. | 14 | Château Haut-Brion | 1970 | France |
| 3. | 14 | Freemark Abbey Winery | 1969 | USA |
| 6. | 13 | Clos Du Val Winery | 1972 | USA |
| 6. | 13 | Stag's Leap Wine Cellars | 1973 | USA |
| 8. | 12 | Château Leoville Las Cases | 1971 | France |
| 8. | 12 | Mayacamas Vineyards | 1971 | USA |
| 10. | 11 | Château Mouton-Rothschild | 1970 | France |
