# Selective Serotonin Reuptake Inhibitors (SSRIs) — Drugs, Strengths, and Routes

| Drug class | Generic name | Brand name(s) | Route | Common tablet/capsule strengths |
|---|---|---|---|---|
| SSRI antidepressants | sertraline | Zoloft | oral | 25 mg, 50 mg, 100 mg |
| SSRI antidepressants | fluoxetine | Prozac | oral | 10 mg, 20 mg, 40 mg |
| SSRI antidepressants | paroxetine | Paxil | oral | 10 mg, 20 mg, 40 mg |
| SSRI antidepressants | citalopram | Celexa | oral | 10 mg, 20 mg, 40 mg |
| SSRI antidepressants | escitalopram | Lexapro | oral | 5 mg, 10 mg, 20 mg |
| SSRI antidepressants | fluvoxamine | Luvox | oral | 25 mg, 50 mg, 100 mg |
| SSRI antidepressants | vortioxetine | Trintellix | oral | 5 mg, 10 mg, 20 mg |
| SSRI antidepressants | vilazodone | Viibryd | oral | 10 mg, 20 mg, 40 mg |
| SSRI antidepressants | dapoxetine | Priligy | oral | 30 mg, 60 mg |
| SSRI antidepressants | zimelidine | (withdrawn) | oral | n/a |
