# Köppen Climate Classification by City — Typical Temperature Range (Non-monthly)

| City | Country/Region | Köppen Class | Descriptor | Typical Winter Range (°C) | Typical Summer Range (°C) | Notes |
| --- | --- | --- | --- | ---: | ---: | --- |
| Vancouver | Canada | Cfb | Marine west coast | 1 to 7 | 13 to 22 | Mild, wet winters |
| Phoenix | USA | BWh | Hot desert | 7 to 20 | 28 to 41 | Extreme summer heat |
| Singapore | Singapore | Af | Tropical rainforest | 24 to 30 | 25 to 31 | Minimal seasonal variation |
| Moscow | Russia | Dfb | Warm-summer continental | -12 to -3 | 12 to 24 | Long cold season |
| Nairobi | Kenya | Cwb | Subtropical highland | 10 to 23 | 11 to 24 | Strong elevation influence |
| Reykjavik | Iceland | Cfc | Subpolar oceanic | -2 to 4 | 8 to 13 | Cool year-round |
| Mumbai | India | Aw | Tropical savanna | 18 to 32 | 25 to 33 | Monsoon-driven humidity |
| Buenos Aires | Argentina | Cfa | Humid subtropical | 7 to 16 | 20 to 30 | Warm summers |
| Perth | Australia | Csa | Hot-summer Mediterranean | 8 to 19 | 18 to 32 | Dry summers |
| Oslo | Norway | Dfb | Warm-summer continental | -10 to -2 | 12 to 22 | Snowy winters |
