# Xbox 360 launch
> Titles

| Title | North America | Europe | Japan |
| --- | --- | --- | --- |
| Amped 3 | Yes | Yes | No |
| Call of Duty 2 | Yes | Yes | No |
| Condemned: Criminal Origins | Yes | Yes | Yes |
| Every Party | No | No | Yes |
| FIFA 06: Road to FIFA World Cup | Yes | Yes | Yes |
| Gun | Yes | Yes | No |
| Kameo: Elements of Power | Yes | Yes | No |
| Madden NFL 06 | Yes | Yes | No |
| NBA 2K6 | Yes | Yes | No |
| NBA Live 06 | Yes | Yes | No |
| Need for Speed: Most Wanted | Yes | Yes | Yes |
| NHL 2K6 | Yes | Yes | No |
| Perfect Dark Zero | Yes | Yes | Yes |
| Peter Jackson's King Kong: The Official Game of the Movie | Yes | Yes | No |
| Project Gotham Racing 3 | Yes | Yes | No |
| Quake 4 | Yes | Yes | No |
| Ridge Racer 6 | Yes | Yes | Yes |
| Tetris: The Grandmaster ACE | No | No | Yes |
| Tiger Woods PGA Tour 06 | Yes | Yes | No |
| Tony Hawk's American Wasteland | Yes | Yes | No |
