# List of Dragon Ball Z episodes
> Episode list

| Orig. ep# | Initial dub ep# | Translated title/Funimation's dub title Original Japanese title | Original airdate | English airdate |
| --- | --- | --- | --- | --- |
| 108 | 93 | "Terrible Happenings in Heaven!! Garlic Jr. to Become Kami!?" / "The Heavens Tremble" "Tenkai ga Taihen da!! Gārikku Junia ga Kami ni Naru!?" (天界が大変だ!!ガーリックJrが神になる!?) | September 18, 1991 | April 8, 2000 |
| 109 | 94 | "Black Mist of Terror...!! Everyone Turns Demonic" / "Black Fog of Terror" "Kyōfu no Kuroi Kiri...!! Minna Mazoku ni Natchatta" (恐怖の黒い霧…!!みんな魔族になっちゃった) | September 25, 1991 | April 15, 2000 |
| 110 | 95 | "The Heavenly Realm is the Battlefield!! Piccolo Becomes Devilish Again..." / "Battle in Kami's Lookout" "Tenkai ga Senjō da!! Pikkoro ga Mazoku ni Gyaku Modori..." (天界が戦場だ!!ピッコロが魔族に逆戻り…) | October 2, 1991 | April 22, 2000 |
| 111 | 96 | "Direct Confrontation with Piccolo!! An Angry Masenko in the Heavenly Realm" / "Fight with Piccolo" "Pikkoro to Kyokusetsu Taiketsu!! Tenkai ni Ikari no Masenkō" (ピッコロと直接対決!!天界に怒りの魔せん光) | October 9, 1991 | April 29, 2000 |
| 112 | 97 | "Retrieve Everyone's Minds!! The Ultra Holy Water Resting in the Temple" / "Call for Restoration" "Minna no Kokoro o Torimodose!! Shinden ni Nemuru Chō Shinsui" (みんなの心を取り戻せ!!神殿に眠る超神水) | October 16, 1991 | May 6, 2000 |
| 113 | 98 | "Can't Wait Until Morning!! Kami- sama Determines a Suicidal Course of Action" / "Suicidal Course" "Asa made Matenai!! Kamisama no Kakugo o Kimeta Kesshikō" (朝まで待てない!!神様の覚悟をきめた決死行) | October 23, 1991 | May 13, 2000 |
| 114 | 99 | "A Battle of Extreme Measures!! Kami- sama Breaks the Covenant" / "Extreme Measures" "Chō Kageki ni Shōbu da!! Okite Yaburi no Kamisama" (超過激に勝負だ!!掟やぶりの神様) | October 30, 1991 | May 20, 2000 |
| 115 | 100 | "The Ultra Holy Water Worked!! The World Awakens from Its Nightmare" / "The World Awakens" "Kiita ze Chō Shinsui!! Sekai ga Akumu kara Sameta" (効いたぜ超神水!!世界が悪夢からさめた) | November 6, 1991 | May 27, 2000 |
| 116 | 101 | "Gohan's Brief Chance for Victory!! Blast the Makyo World..." / "Brief Chance for Victory" "Gohan ni Isshun no Shōki!! Ano Makyōsei o Ute..." (悟飯に一瞬の勝機!!あの魔凶星を撃て…) | November 13, 1991 | May 27, 2000 |
| 117 | 102 | "You're My Guy... Kuririn — A 101st Proposal" / "Krillin's Proposal" "Otoko da nē...Kuririn Hyakuikkaime no Puropōzu" (男だねェ…クリリン101回目のプロポーズ) | November 20, 1991 | September 1, 2000 |
| 118 | 103 | "That There is Earth, Papa... The Counter-Attack of Freeza, Father and Son" / "Frieza's Counterattack" "Are ga Chikyū dayo Papa... Furīza Oyako no Gyakushū" (あれが地球だよパパ…フリーザ親子の逆襲) | November 27, 1991 | September 4, 2000 |
| 119 | 104 | "I Will Defeat Freeza... The Mysterious Youth Awaiting Goku" / "The Mysterious Youth" "Furīza wa Boku ga Taosu... Gokū o Matsu Nazo no Shōnen" (フリーザはボクが倒す…悟空を待つ謎の少年) | December 4, 1991 | September 5, 2000 |
| 120 | 105 | "Freeza Halved by a Single Stroke!! Another Super Saiyan" / "Another Super Saiyan?" "Furīza o Ittō Ryōdan!! Mō Hitori no Sūpā Saiyajin" (フリーザを一刃両断!!もう一人の超サイヤ人) | December 11, 1991 | September 6, 2000 |
| 121 | 106 | "Heya!! It's Been a While... Son Goku Returns" / "Welcome Back Goku" "Ossu!! Hisashiburi... Kaettekita Son Gokū" (オッス!!ひさしぶり…帰って来た孫悟空) | December 18, 1991 | September 7, 2000 |
