# California ZIP Codes for Los Angeles County (County-Scoped Listing)

| ZIP Code | Type | Common Cities | County |
| --- | --- | --- | --- |
| 90001 | Standard | Los Angeles | Los Angeles County |
| 90002 | Standard | Los Angeles, Watts | Los Angeles County |
| 90003 | Standard | Los Angeles | Los Angeles County |
| 90004 | Standard | Los Angeles, Hancock Park | Los Angeles County |
| 90005 | Standard | Los Angeles, Koreatown | Los Angeles County |
| 90006 | Standard | Los Angeles | Los Angeles County |
| 90007 | Standard | Los Angeles, USC | Los Angeles County |
| 90008 | Standard | Los Angeles, Baldwin Hills | Los Angeles County |
| 90010 | Standard | Los Angeles, Mid-Wilshire | Los Angeles County |
| 90011 | Standard | Los Angeles | Los Angeles County |
| 90012 | Standard | Los Angeles, Chinatown | Los Angeles County |
