# BBC Overseas Sports Personality of the Year — Winners by Year

| Year | Winner | Nationality/Representation | Sport |
|---|---|---|---|
| 1998 | Michael Johnson | United States | Athletics |
| 1999 | Tiger Woods | United States | Golf |
| 2000 | Jonah Lomu | New Zealand | Rugby union |
| 2001 | Venus Williams | United States | Tennis |
| 2002 | Ronaldo | Brazil | Football |
| 2003 | Lance Armstrong | United States | Cycling |
| 2004 | Michael Schumacher | Germany | Formula One |
| 2005 | Rafael Nadal | Spain | Tennis |
| 2006 | Roger Federer | Switzerland | Tennis |
| 2007 | Justine Henin | Belgium | Tennis |
| 2008 | Usain Bolt | Jamaica | Athletics |
| 2009 | Yelena Isinbayeva | Russia | Athletics |
