# Singapore-related Companies (Mixed  Listed and Unlisted; SGX Field Optional)

| Company | Industry | SGX Ticker | Status in Singapore | Notes |
| --- | --- | --- | --- | --- |
| Bee Cheng Hiang | Food & Beverage | - | Singapore-based | Private company; not SGX-traded |
| BreadTalk Group Limited | Food & Beverage | SGX: 5DA | Singapore-headquartered | Previously associated with SGX ticker in some sources |
| Grab Holdings Ltd. | Technology / Mobility | NASDAQ: GRAB | Singapore-headquartered | Listed in the U.S., not on SGX |
| Razer Inc. | Consumer Electronics | - | Singapore-headquartered | Delisted; not currently traded on SGX |
| Wilmar International Limited | Agribusiness | SGX: F34 | Singapore-based | SGX-listed |
| PSA International Pte Ltd | Port Operations | - | Singapore-based | State-owned; not listed |
| Sea Limited | Internet / Gaming | NYSE: SE | Singapore-headquartered | Listed on NYSE, not SGX |
| Charles & Keith (Singapore) Pte. Ltd. | Retail | - | Singapore-based | Private; not listed |
| Keppel Corporation Limited | Conglomerate | SGX: BN4 | Singapore-based | SGX-listed |
| Far East Organization | Real Estate | - | Singapore-based | Private; not listed |
