# Kent County Council School Term and Holiday Dates 2016-2017 (Local Authority Schedule)

| Term / Holiday | Start Date | End Date | Notes |
| --- | --- | --- | --- |
| Autumn Term (Part 1) | 2016-09-05 | 2016-10-21 | Term time |
| Autumn Half Term | 2016-10-22 | 2016-10-30 | Holiday |
| Autumn Term (Part 2) | 2016-10-31 | 2016-12-16 | Term time |
| Christmas Holidays | 2016-12-17 | 2017-01-02 | Holiday |
| Spring Term (Part 1) | 2017-01-03 | 2017-02-10 | Term time |
| Spring Half Term | 2017-02-11 | 2017-02-19 | Holiday |
| Spring Term (Part 2) | 2017-02-20 | 2017-03-31 | Term time |
| Easter Holidays | 2017-04-01 | 2017-04-17 | Holiday |
| Summer Term (Part 1) | 2017-04-18 | 2017-05-26 | Term time |
| Summer Half Term | 2017-05-27 | 2017-06-04 | Holiday |
| Summer Term (Part 2) | 2017-06-05 | 2017-07-21 | Term time |
| Summer Holidays | 2017-07-22 | 2017-09-03 | Holiday |
