# Animated Series — Voice Cast & Crew (Screen Time % Instead of Episode Totals)

| Person | Credit | Role / Job | Share of Season Screen Time |
|---|---|---|---|
| Camille Brooks | Voice Cast | Ava (voice) | 28% |
| Jonah Rhee | Voice Cast | Rex (voice) | 22% |
| Nadia El-Sayed | Voice Cast | Professor Lyra (voice) | 14% |
| Trent Holloway | Voice Cast | Captain Voss (voice) | 9% |
| Paula Ibarra | Crew | Series Director | 100% |
| Miles Okoye | Crew | Head Writer | 100% |
| Yuki Tanaka | Crew | Composer | 100% |
| Bea Lambert | Crew | Casting Director | 100% |
| Colin Avery | Crew | Animation Supervisor | 100% |
