# List of Dragon Ball Z episodes
> Episode list

| Orig. ep# | Initial dub ep# | Translated title/Funimation's dub title Original Japanese title | Original airdate | English airdate |
| --- | --- | --- | --- | --- |
| 220 | 205 | "The Man Behind the Curtains Appears!! The Evil Madoshi Babidi" / "The Wizard's Curse" "Kuromaku Tōjō!! Aku no Madōshi Babidi" (黒幕登場!!悪の魔導師バビディ) | March 9, 1994 | October 15, 2001 |
| 221 | 206 | "The Awaiting Trap!! A Challenge from the Demon Realm" / "King of the Demons" "Machiukeru Wana!! Makai kara no Chōsenjō" (待ち受けるワナ!!魔界からの挑戦状) | March 16, 1994 | October 16, 2001 |
| 222 | 207 | "Don't Toy With Me!! Vegeta's Breakthrough First Strike of Fury" / "Vegeta Attacks" "Nameru na!! Bejīta Ikari no Shosen Toppa" (なめるな!!ベジータ怒りの初戦突破) | March 23, 1994 | October 17, 2001 |
| 223 | 208 | "Goku's Power Wide Open!! Blow Away Yakon" / "Next Up, Goku" "Gokū Pawā Zenkai!! Buttobe Yakon" (悟空パワー全開!!ブッ飛べヤコン) | April 13, 1994 | October 18, 2001 |
| 224 | 209 | "A Great Miscalculation!! Satan vs. Three Super-Warriors!?" / "Battle Supreme" "Daigosan!! Satan tai Sannin no Chōsenshi!?" (大誤算!!サタンVS3人の超戦士!?) | April 20, 1994 | October 22, 2001 |
| 225 | 210 | "Such Strong Kids!! No. 18's Close Fight!?" / "Eighteen Unmasks" "Tsuyoi ze Chibikko!! Jūhachigō Daikusen!?" (強いぜチビッコ!!18号大苦戦!?) | April 27, 1994 | October 23, 2001 |
| 226 | 211 | "Confrontation with the Demon King! It's Your Turn, Gohan!!" / "Pay to Win" "Tachihadakaru Maō! Deban da Gohan!!" (たちはだかる魔王！出番だ悟飯!!) | May 4, 1994 | October 24, 2001 |
| 227 | 212 | "A Wicked Heart Discovered!! Dabura's Great Idea" / "Heart of a Villain" "Mitsukerareta Jashin!! Dābura no Meian" (見つけられた邪心!!ダーブラの名案) | May 18, 1994 | October 25, 2001 |
| 228 | 213 | "Vegeta, Prince of Destruction, Revived!! Intrusion at the Tournament" / "The Dark Prince Returns" "Hakai Ōji Bejīta Fukkatsu!! Butōkai Rannyū" (破壊王子ベジータ復活!!武闘会乱入) | May 25, 1994 | October 29, 2001 |
| 229 | 214 | "The Super-confrontation of Destiny!! The Clash of Goku vs. Vegeta" / "Vegeta's Pride" "Shukumei no Chōtaiketsu!! Gekitotsu Gokū tai Bejīta" (宿命の超対決!!激突悟空VSベジータ) | June 15, 1994 | October 30, 2001 |
| 230 | 215 | "Just You Wait, Babidi!! Your Aspirations Will Not Be Allowed" / "The Long Awaited Fight" "Mattero Babidi!! Yabō wa Yurusanai" (待ってろバビディ!!野望は許さない) | June 22, 1994 | October 31, 2001 |
| 231 | 216 | "The Seal is Broken! Out Comes the Vicious Majin Boo!!" / "Magic Ball of Buu" "Toketa Fūin! Deruzo Kyōaku Majin Bū!!" (解けた封印！出るぞ凶悪魔人ブウ!!) | June 29, 1994 | November 1, 2001 |
