# Amiibo Compatibility for Super Smash Bros. Fighters (Series and Function)

| Fighter | Amiibo Series | Supported Game | Function | Notes |
| --- | --- | --- | --- | --- |
| Mario | Super Smash Bros. | Smash Ultimate | Trainable FP | Saves AI data |
| Link | Super Smash Bros. | Smash Ultimate | Trainable FP | Can learn habits |
| Cloud | Super Smash Bros. | Smash Ultimate | Trainable FP | Limited restocks |
| Zero Suit Samus | Super Smash Bros. | Smash Ultimate | Trainable FP | Separate figure from Samus |
| Sheik | Super Smash Bros. | Smash Ultimate | Trainable FP | Often paired with Zelda in listings |
| Rosalina | Super Smash Bros. | Smash Ultimate | Trainable FP | Luma not separate |
| Captain Falcon | Super Smash Bros. | Smash Ultimate | Trainable FP | Popular for training clips |
| Ness | Super Smash Bros. | Smash Ultimate | Trainable FP | Rare in some regions |
| Falco | Super Smash Bros. | Smash Ultimate | Trainable FP | Part of Star Fox set |
| Ganondorf | Super Smash Bros. | Smash Ultimate | Trainable FP | Heavier figure base |
