# Macanese pataca
> Historical exchange rate

| Year | 1990 | 1991 | 1992 | 1993 | 1994 | 1995 | 1996 | 1997 | 1998 | 1999 | 2000 | 2001 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Hong Kong dollar | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 |
| Portuguese escudo | 0.0564 | 0.0555 | 0.0593 | 0.0497 | 0.0481 | 0.0532 | 0.0517 | 0.0456 | 0.0443 | 0.0425 | 0.0370 | 0.0359 |
| German mark | 4.9750 | 4.8362 | 5.1221 | 4.8199 | 4.9225 | 5.5677 | 5.2977 | 4.6049 | 4.5381 | 4.3601 | 3.7929 | 3.6794 |
| French franc | 1.4767 | 1.4222 | 1.5115 | 1.4076 | 1.4392 | 1.5988 | 1.5583 | 1.3679 | 1.3537 | 1.3000 | 1.1309 | 1.0971 |
| United States dollar | 8.0230 | 8.0041 | 7.9723 | 7.9679 | 7.9602 | 7.9679 | 7.9664 | 7.9749 | 7.9788 | 7.9918 | 8.0260 | 8.0335 |
| British Pound | 14.3239 | 14.1421 | 14.0998 | 11.9638 | 12.1982 | 12.5766 | 12.4392 | 13.0709 | 13.2203 | 12.9284 | 12.1663 | 11.5698 |
| Chinese yuan |  |  |  |  |  |  |  | 0.9620 | 0.9637 | 0.9654 | 0.9695 | 0.9706 |
| Taiwan dollar |  |  |  |  |  |  |  | 0.2788 | 0.2384 | 0.2477 | 0.2574 | 0.2379 |
| Euro |  |  |  |  |  |  |  | 9.0177 | 8.9532 | 8.5277 | 7.4183 | 7.1962 |
| Australian dollar |  |  |  |  |  |  |  | 5.9341 | 5.0203 | 5.1574 | 4.6739 | 4.1598 |
| Korean won |  |  |  |  |  |  |  | 0.0086 | 0.0057 | 0.0067 | 0.0071 | 0.0062 |
| Japanese yen |  |  |  |  |  |  |  | 0.0661 | 0.0611 | 0.0704 | 0.0745 | 0.0662 |
| Malaysian ringgit |  |  |  |  |  |  |  | 2.8954 | 2.0387 | 2.1031 | 2.1121 | 2.1141 |
| New Zealand dollar |  |  |  |  |  |  |  | 5.2849 | 4.2816 | 4.2315 | 3.6684 | 3.3813 |
| Singapore dollar |  |  |  |  |  |  |  | 5.3851 | 4.7720 | 4.7160 | 4.6553 | 4.4867 |
| Swiss franc |  |  |  |  |  |  |  | 5.5020 | 5.5090 | 5.3278 | 4.7590 | 4.7638 |
