# Most Subscribed YouTube Channels (Missing Subscriber Counts; Engagement-Only Comparison)

| Rank | Channel | Avg. Views per Video (30d) | Upload Frequency | Category | Notes |
|---:|---|---:|---|---|---|
| 1 | MrBeast | 85,000,000 | Weekly | Entertainment | High-virality challenges |
| 2 | T-Series | 12,000,000 | Daily | Music | Label catalog distribution |
| 3 | Cocomelon - Nursery Rhymes | 25,000,000 | Weekly | Kids | Evergreen nursery content |
| 4 | SET India | 9,500,000 | Daily | Entertainment | TV clips & serials |
| 5 | WWE | 6,800,000 | Daily | Sports | Highlights & recaps |
| 6 | Like Nastya | 14,000,000 | Weekly | Kids | Family-friendly vlogs |
| 7 | Zee Music Company | 7,200,000 | Daily | Music | Music label clips |
| 8 | 5-Minute Crafts | 5,100,000 | Daily | How-to | Compilation format |
| 9 | BLACKPINK | 18,000,000 | Monthly | Music | K-pop releases |
| 10 | Justin Bieber | 10,500,000 | Monthly | Music | Artist channel |
