# Ionic vs Covalent Compounds Classification (No Ion Charges Shown)

| Compound Formula | Compound Name | Classification | Notes |
|---|---|---|---|
| NaCl | Sodium chloride | Ionic | Metal + nonmetal |
| CO2 | Carbon dioxide | Covalent | Nonmetal + nonmetal |
| NH3 | Ammonia | Covalent | Molecular compound |
| CaCO3 | Calcium carbonate | Ionic | Salt |
| H2SO4 | Sulfuric acid | Acid (molecular) | Ionizes in water |
| Ag3PO4 | Silver phosphate | Ionic | Salt |
| KNO3 | Potassium nitrate | Ionic | Salt |
| CH4 | Methane | Covalent | Hydrocarbon |
| MgO | Magnesium oxide | Ionic | Basic oxide |
