# The Mark Levin Show — Affiliate Stations With Time Zone Only (No Local Start Time)

| Station | Market | Time Zone | Carriage Type | Days | Notes |
| --- | --- | --- | --- | --- | --- |
| KABC | Los Angeles, CA | PT | Live | Mon–Fri | Syndicated talk |
| KEX | Portland, OR | PT | Delayed | Mon–Fri | Tape delay possible |
| KFYI | Phoenix, AZ | MT | Live | Mon–Fri | News/Talk |
| KOA | Denver, CO | MT | Live | Mon–Fri | Clear-channel |
| WJR | Detroit, MI | ET | Live | Mon–Fri | News/Talk |
| WBAP | Dallas, TX | CT | Live | Mon–Fri | Talk |
| WFLA | Tampa, FL | ET | Delayed | Mon–Fri | Partial-hour joins |
| WLW | Cincinnati, OH | ET | Live | Mon–Fri | Talk |
| KMBZ | Kansas City, MO | CT | Live | Mon–Fri | News/Talk |
| KSL | Salt Lake City, UT | MT | Live | Mon–Fri | News/Talk |
