# Minecraft Pocket Bedrock (PE) Servers — Name and Address (Host Port)

| Server Name | Address (Host:Port) | Game Edition | Notes |
| --- | --- | --- | --- |
| Kadens ELEET Survival Server | eleet.leet.cc:10557 | Bedrock/PE | Survival |
| Waffle Galaxy | wafflegalaxy.com:19132 | Bedrock/PE | Mini-games |
| EnderNet MCPE | endernetmcpe.leet.cc:29201 | Bedrock/PE | Hub |
| Killers Craft | b44918.leet.cc:44918 | Bedrock/PE | PvP |
| NetherRealms PE | play.netherrealms.net:19132 | Bedrock/PE | Survival |
| OceanicCraft | mc.oceaniccraft.net:19132 | Bedrock/PE | Skyblock |
| Redwood Prison PE | redwoodprison.net:19132 | Bedrock/PE | Prison |
| PixelRift | play.pixelrift.org:19132 | Bedrock/PE | Economy |
| Aurora SMP | aurorasmp.io:19132 | Bedrock/PE | SMP |
| SkyKings PE | skykings.example.net:19140 | Bedrock/PE | SkyWars |
