# Benzodiazepines — Brand List with Strengths (No Generic Column)

| Drug Class | Brand Name | Typical Strengths | Dosage Form |
| --- | --- | --- | --- |
| Benzodiazepines | Valium | 2 mg, 5 mg, 10 mg | Tablet |
| Benzodiazepines | Xanax | 0.25 mg, 0.5 mg, 1 mg, 2 mg | Tablet |
| Benzodiazepines | Ativan | 0.5 mg, 1 mg, 2 mg | Tablet |
| Benzodiazepines | Klonopin | 0.5 mg, 1 mg, 2 mg | Tablet |
| Benzodiazepines | Restoril | 7.5 mg, 15 mg, 30 mg | Capsule |
| Benzodiazepines | Halcion | 0.125 mg, 0.25 mg | Tablet |
| Benzodiazepines | Librium | 5 mg, 10 mg, 25 mg | Capsule |
| Benzodiazepines | Tranxene | 3.75 mg, 7.5 mg, 15 mg | Capsule |
| Benzodiazepines | Dalmane | 15 mg, 30 mg | Capsule |
