# Smoke Point Guide for Popular Cooking Oils (No Fat Breakdown)

| Oil | Refining/Grade | Smoke point (°C) | Smoke point (°F) | Notes |
|---|---|---:|---:|---|
| Extra virgin olive oil | Unrefined | 190 | 374 | Strong flavor; varies by brand |
| Olive oil (refined) | Refined | 240 | 464 | Neutraler taste |
| Avocado oil (refined) | Refined | 270 | 518 | Often marketed for searing |
| Canola oil | Refined | 205 | 401 | Common all-purpose oil |
| Peanut oil | Refined | 230 | 446 | Popular for frying |
| Sunflower oil (refined) | Refined | 225 | 437 | High-heat capable |
| Rice bran oil | Refined | 232 | 450 | Often used for deep frying |
| Coconut oil (virgin) | Unrefined | 177 | 351 | Lower smoke point |
| Sesame oil (toasted) | Unrefined | 177 | 351 | Mostly used for flavoring |
