# Irish Sports Personality of the Year (Ireland) — Selected Winners by Year

| Year | Recipient | Recipient type | Sport / Discipline | Notable achievement (that year) |
|---|---|---|---|---|
| 2019 | Katie Taylor | Individual | Boxing | Unified lightweight world champion run |
| 2018 | Paul O’Donovan | Individual | Rowing | European & World Championship medals |
| 2017 | Dublin Senior Football Team | Team | Gaelic football | All-Ireland champions |
| 2016 | Kellie Harrington | Individual | Boxing | AIBA World Championship gold |
| 2015 | Shane Lowry | Individual | Golf | WGC-Bridgestone Invitational winner |
| 2014 | Ireland Men’s Rugby Team | Team | Rugby union | Six Nations champions |
| 2013 | Brian O’Driscoll | Individual | Rugby union | Record-setting international career highlight |
| 2012 | Michael Conlan | Individual | Boxing | Olympic bronze medal |
| 2011 | Rory McIlroy | Individual | Golf | U.S. Open champion |
| 2010 | Gordon D’Arcy | Individual | Rugby union | Grand Slam season contributor |
