# Super Smash Bros. Melee — Unlockable Fighters and How to Get Them (Roster Additions)

| Unlockable Fighter | Primary Unlock Requirement (in-game) | Alternate/Shortcut Requirement | Mode/Place Where You Fight Them | Notes |
| --- | --- | --- | --- | --- |
| Luigi | Play VS Mode matches | Win a VS match with **all starter characters** (one time each) | Unlock match (1-on-1) | After unlocking, Luigi becomes selectable |
| Jigglypuff | Clear **Adventure Mode** | Play **50 VS matches** | Unlock match | Often among the earliest unlocks |
| Dr. Mario | Clear **Classic Mode** with Mario | Play **100 VS matches** | Unlock match | Separate fighter from Mario |
| Marth | Clear **Classic Mode** on any difficulty | — | Unlock match | One of two Classic-based swordfighter unlocks |
| Roy | Clear **Classic Mode** with Marth | — | Unlock match | Requires Marth first |
| Young Link | Clear **Adventure Mode** with Link | Play **500 VS matches** | Unlock match | Distinct moveset vs. adult Link |
| Ganondorf | Clear **Event Match 29** ("Triforce Gathering") | Play **600 VS matches** | Unlock match | Heavy fighter; unlock can be match-count based |
| Mewtwo | Play a high total time in VS (approx. **20 hours** human-controlled) | Much less time if many players/higher time scaling | Unlock match | Time-based unlock rather than match-count |
| Mr. Game & Watch | Clear **Target Test** with every character on the roster (including other unlocks) | — | Unlock match | Typically the last unlock due to roster-wide requirement |
