# Talk Radio ( XM )
> Programming Lineup

| ET | PT | Show | Network | Notes |
| --- | --- | --- | --- | --- |
| 5 a.m. | 2 a.m. | Coast to Coast AM with George Noory | Premiere Radio Networks | Replay |
| 9 a.m. | 6 a.m. | At Home with Gary Sullivan | Premiere Radio Networks | Live. The fourth hour is not syndicated, and is exclusive to 55KRC . |
| 12 p.m. | 9 a.m. | The Weekend | Premiere Radio Networks | Live |
| 3 p.m. | 12 p.m. | Rich Dad Radio with Robert Kiyosaki | Rich Dad/ Premiere Satellite Radio | Pre-recorded |
| 4 p.m. | 1 p.m. | Both Sides Now with Arianna Huffington and Mary Matalin | Lifestyle TalkRadio Network | Pre-recorded |
| 3 p.m. | 12 p.m. | The Moll Anderson Show | Premiere Satellite Radio | Pre-recorded |
| 6 p.m. | 3 p.m. | David Essel Alive! | Premiere Satellite Radio | Live |
| 9 p.m. | 6 p.m. | Somewhere in Time with Art Bell | Premiere Radio Networks | Art Bell archive shows |
| 1 a.m. | 10 p.m. | Coast to Coast AM with John B. Wells | Premiere Radio Networks | Live |
