# Powerball
> Playing the game

| Starting date | Pick 5 of | Pick 1 of | Jackpot chance | Power Play multipliers |
| --- | --- | --- | --- | --- |
| April 22, 1992 | 45 | 45 | 1:54,979,154 | none† |
| November 5, 1997 | 49 | 42 | 1:80,089,127 | none† |
| March 7, 2001 | 49 | 42 | 1:80,089,127 | 1×-5× |
| October 9, 2002 | 53 | 42 | 1:120,526,769 | 2×-5× |
| August 28, 2005 | 55 | 42 | 1:146,107,961 | 2×-5× |
| January 7, 2009 | 59 | 39 | 1:195,249,054 | 2×-5× |
| January 15, 2012 | 59 | 35 | 1:175,223,510 | none |
| January 19, 2014 | 59 | 35 | 1:175,223,510 | 2×-5× |
| October 7, 2015 [22] | 69 | 26 | 1:292,201,338 | 2×-5×; 10×‡ |
