# YouTube Awards
> 2008 Awards

| Category | Winning Video [17] [18] [19] [20] [21] [22] [23] [24] | YouTube Link | YouTube User |
| --- | --- | --- | --- |
| Adorable | Laughing Baby | Video | gsager1234 |
| Comedy | Potter Puppet Pals in "The Mysterious Ticking Noise" | Video | NeilCicierega |
| Commentary | LonelyGirl15 is Dead! | Video | WHATTHEBUCKSHOW |
| Creative | The Original Human TETRIS Performance by Guillaume Reymond | Video | notsonoisy |
| Eyewitness | Battle at Kruger | Video | Jason275 |
| Inspirational | Blind Painter | Video | texascountryreporter |
| Instructional | How to solve a Rubik's Cube | Video (part 1) | pogobat |
| Music | Chocolate Rain | Video | TayZonday |
| Politics | Stop the Clash of Civilizations | Video | AvaazOrg |
| Series | The Guild | Video (part 1) | watchtheguild |
| Short Film | my name is lisa | Video | sheltonfilms |
| Sports | balloon bowl | Video | davetheknave |
