# Major Metropolitan Areas in the U.S. Midwest by State(s)

| Metro Area | State(s) | Core City | Approx. Population (Millions) |
| --- | --- | --- | --- |
| Chicago–Naperville–Elgin | IL–IN–WI | Chicago | 9.5 |
| Detroit–Warren–Dearborn | MI | Detroit | 4.3 |
| Minneapolis–St. Paul–Bloomington | MN–WI | Minneapolis / St. Paul | 3.7 |
| St. Louis | MO–IL | St. Louis | 2.8 |
| Cincinnati | OH–KY–IN | Cincinnati | 2.3 |
| Milwaukee–Waukesha | WI | Milwaukee | 1.6 |
| Kansas City | MO–KS | Kansas City | 2.2 |
| Cleveland–Elyria | OH | Cleveland | 2.1 |
| Indianapolis–Carmel–Anderson | IN | Indianapolis | 2.1 |
| Columbus | OH | Columbus | 2.1 |
