# The Church of Jesus Christ of Latter - day Saints membership statistics ( United States )
> Official LDS Membership

| State | Membership | Population | LDS | Temples | Missions | Stakes | Districts | Wards | Branches | Congregations | Family History Centers |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Alabama | 36,874 | 4,858,979 | 0.76% | 1 | 1 | 7 | 0 | 44 | 30 | 74 | 44 |
| Alaska | 33,649 | 738,432 | 4.56% | 1 | 1 | 8 | 0 | 62 | 26 | 88 | 15 |
| Arizona | 418,959 | 6,828,065 | 6.14% | 5 | 6 | 105 | 0 | 789 | 84 | 873 | 71 |
| Arkansas | 30,447 | 2,978,204 | 1.02% | 0 | 2 | 7 | 0 | 42 | 25 | 67 | 25 |
| California | 773,762 | 39,144,818 | 1.98% | 7 | 20 | 156 | 0 | 1,194 | 153 | 1,347 | 222 |
| Colorado | 151,580 | 5,456,574 | 2.78% | 1 | 4 | 34 | 0 | 283 | 29 | 312 | 63 |
| Connecticut | 15,752 | 3,590,886 | 0.44% | 0 | 0 | 3 | 0 | 29 | 5 | 34 | 13 |
| Delaware | 5,239 | 945,934 | 0.55% | 0 | 0 | 2 | 0 | 11 | 2 | 13 | 3 |
| District of Columbia | 2,624 | 672,228 | 0.39% | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 |
| Florida | 152,217 | 20,271,272 | 0.75% | 2 | 5 | 30 | 0 | 209 | 46 | 255 | 81 |
| Georgia | 83,628 | 10,214,860 | 0.82% | 1 | 3 | 16 | 0 | 113 | 43 | 156 | 43 |
| Hawaii | 73,740 | 1,431,603 | 5.15% | 2 | 1 | 16 | 0 | 124 | 16 | 140 | 27 |
| Idaho | 437,106 | 1,654,930 | 26.41% | 4 | 4 | 126 | 0 | 1,059 | 67 | 1,126 | 72 |
| Illinois | 56,920 | 12,859,995 | 0.44% | 2 | 3 | 12 | 0 | 94 | 31 | 125 | 39 |
| Indiana | 44,071 | 6,619,680 | 0.66% | 1 | 1 | 11 | 0 | 70 | 30 | 100 | 39 |
| Iowa | 27,675 | 3,123,899 | 0.89% | 0 | 1 | 7 | 0 | 45 | 25 | 70 | 33 |
| Kansas | 37,099 | 2,911,641 | 1.27% | 0 | 1 | 7 | 0 | 59 | 19 | 78 | 29 |
| Kentucky | 34,491 | 4,425,092 | 0.78% | 1 | 1 | 7 | 0 | 44 | 34 | 78 | 26 |
| Louisiana | 29,772 | 4,670,724 | 0.64% | 1 | 1 | 6 | 0 | 36 | 20 | 56 | 15 |
| Maine | 10,966 | 1,329,328 | 0.82% | 0 | 0 | 2 | 0 | 16 | 10 | 26 | 10 |
| Maryland | 43,387 | 6,006,401 | 0.72% | 1 | 2 | 8 | 0 | 66 | 13 | 79 | 15 |
| Massachusetts | 27,055 | 6,794,422 | 0.40% | 1 | 1 | 4 | 0 | 42 | 15 | 57 | 19 |
| Michigan | 44,206 | 9,922,576 | 0.45% | 1 | 2 | 8 | 1 | 61 | 33 | 94 | 45 |
| Minnesota | 32,321 | 5,489,594 | 0.59% | 1 | 1 | 8 | 0 | 52 | 24 | 76 | 29 |
| Mississippi | 21,770 | 2,992,333 | 0.73% | 0 | 1 | 4 | 0 | 29 | 17 | 46 | 20 |
| Missouri | 69,454 | 6,083,672 | 1.14% | 2 | 2 | 17 | 0 | 121 | 29 | 150 | 53 |
| Montana | 49,597 | 1,032,949 | 4.80% | 1 | 1 | 11 | 0 | 84 | 40 | 124 | 52 |
| Nebraska | 24,855 | 1,896,190 | 1.31% | 1 | 1 | 4 | 0 | 44 | 18 | 62 | 18 |
| Nevada | 182,125 | 2,890,845 | 6.30% | 2 | 3 | 38 | 0 | 300 | 27 | 327 | 32 |
| New Hampshire | 8,246 | 1,330,608 | 0.62% | 0 | 1 | 3 | 0 | 15 | 4 | 19 | 6 |
| New Jersey | 33,352 | 8,958,013 | 0.37% | 0 | 1 | 6 | 0 | 39 | 24 | 63 | 20 |
| New Mexico | 69,896 | 2,085,109 | 3.35% | 1 | 2 | 14 | 0 | 101 | 53 | 154 | 30 |
| New York | 81,132 | 19,795,791 | 0.41% | 2 | 4 | 16 | 1 | 92 | 56 | 148 | 62 |
| North Carolina | 83,829 | 10,042,802 | 0.83% | 1 | 2 | 17 | 0 | 129 | 29 | 158 | 49 |
| North Dakota | 11,195 | 756,927 | 1.48% | 1 | 1 | 3 | 0 | 17 | 6 | 23 | 7 |
| Ohio | 60,971 | 11,613,423 | 0.53% | 1 | 3 | 13 | 0 | 101 | 26 | 127 | 46 |
| Oklahoma | 47,044 | 3,911,338 | 1.20% | 1 | 1 | 8 | 0 | 70 | 23 | 93 | 28 |
| Oregon | 153,633 | 4,028,977 | 3.81% | 2 | 3 | 35 | 0 | 261 | 53 | 314 | 74 |
| Pennsylvania | 51,336 | 12,802,503 | 0.40% | 0 | 2 | 12 | 0 | 83 | 30 | 113 | 46 |
| Rhode Island | 4,034 | 1,056,298 | 0.38% | 0 | 0 | 0 | 0 | 6 | 4 | 10 | 1 |
| South Carolina | 39,894 | 4,896,146 | 0.81% | 1 | 1 | 6 | 0 | 56 | 14 | 70 | 23 |
| South Dakota | 10,422 | 858,469 | 1.21% | 0 | 0 | 2 | 1 | 12 | 20 | 32 | 13 |
| Tennessee | 49,576 | 6,600,299 | 0.75% | 2 | 2 | 12 | 0 | 77 | 28 | 105 | 33 |
| Texas | 341,022 | 27,469,114 | 1.24% | 4 | 8 | 69 | 3 | 529 | 133 | 662 | 129 |
| Utah | 2,040,178 | 2,995,919 | 68.10% | 16 | 10 | 578 | 1 | 4,721 | 327 | 5,048 | 171 |
| Vermont | 4,596 | 626,042 | 0.73% | 0 | 0 | 1 | 0 | 8 | 4 | 12 | 8 |
| Virginia | 94,528 | 8,382,993 | 1.13% | 0 | 3 | 20 | 0 | 167 | 31 | 198 | 46 |
| Washington | 284,631 | 7,170,351 | 3.97% | 3 | 8 | 60 | 0 | 482 | 70 | 552 | 88 |
| West Virginia | 16,959 | 1,844,128 | 0.92% | 0 | 1 | 4 | 0 | 24 | 10 | 34 | 14 |
| Wisconsin | 26,161 | 5,771,337 | 0.45% | 0 | 1 | 6 | 0 | 44 | 23 | 67 | 28 |
| Wyoming | 67,680 | 586,107 | 11.55% | 0 | 1 | 17 | 0 | 142 | 20 | 162 | 45 |
| Totals | 6,531,656 | 321,418,820 | 2.03% | 74 | 124 | 1,566 | 7 | 12,299 | 1,900 | 14,199 | 2,121 |
