# NHL Presidents’ Trophy Winners  Playoff Outcomes by Era (2015–16 to 2023–24)

| Season | Presidents’ Trophy Winner | Playoff Result (Specific Finish) | Notes (Opponent in Elimination / Final) | Stanley Cup Champion? |
|---|---|---|---|---|
| 2015–16 | Washington Capitals | Lost in Second Round | Eliminated by Pittsburgh Penguins | No |
| 2016–17 | Washington Capitals | Lost in Second Round | Eliminated by Pittsburgh Penguins | No |
| 2017–18 | Nashville Predators | Lost in Second Round | Eliminated by Winnipeg Jets | No |
| 2018–19 | Tampa Bay Lightning | Lost in First Round | Eliminated by Columbus Blue Jackets | No |
| 2019–20 | Boston Bruins | Lost in Second Round | Eliminated by Tampa Bay Lightning | No |
| 2020–21 | Colorado Avalanche | Lost in Second Round | Eliminated by Vegas Golden Knights | No |
| 2021–22 | Florida Panthers | Lost in Second Round | Eliminated by Tampa Bay Lightning | No |
| 2022–23 | Boston Bruins | Lost in First Round | Eliminated by Florida Panthers | No |
| 2023–24 | New York Rangers | Lost in Eastern Conference Final | Eliminated by Florida Panthers | No |
