# Royal Canadian Mint numismatic coins ( 2000s )
> 100 Dollar Gold

| Year | Theme | Artist | Mintage | Issue Price |
| --- | --- | --- | --- | --- |
| 2000 | 150th Anniv., Search for Northwest Passage | John Mardon | 10,547 | $259.95 |
| 2001 | 125th Anniv., Library of Parliament | Robert R. Carmichael | 8,080 | $259.95 |
| 2002 | Commemorating Canada’s Oil Industry | John Mardon | 9,994 | $259.95 |
| 2003 | 100th Anniversary of Marquis Wheat | Thom Nelson | 9,993 | $259.95 |
| 2004 | St. Lawrence Seaway Construction | Susan Taylor | 7,123 | $259.95 |
| 2005 | 130th Anniversary of Supreme Court of Canada | Suzanne Duranceau | 9,000 | $329.95 |
| 2006 | 75th Anniversary, Longest International Hockey Series | Tony Bianco | 9,000 | $329.95 |
| 2007 | 140th Anniversary of the Dominion of Canada | Bonnie Ross | 5,000 | $369.95 |
| 2008 | 200th Anniversary, Fraser River | John Mantha | 5,000 | $386.95 |
| 2009 | 10th Anniversary of Nunavut | Andrew Qappik | 5,000 | $419.95 |
