# Las Vegas Transportation Costs Overview (Limo Hourly Rates + Ride-Share + Taxi Zones)

| Mode / Vehicle | Pricing Unit | Typical Cost | Assumptions | Notes |
| --- | --- | --- | --- | --- |
| Stretch Limousine | Per hour | $120–$210/hr | Off-Strip | 8–10 passengers |
| Hummer Limo | Per hour | $175–$325/hr | Weekend | 14–18 passengers |
| Party Bus | Per hour | $200–$350/hr | Nightlife | 20–35 passengers |
| Ride-share (standard) | Per trip | $18–$45 | Strip to Downtown | Surge varies |
| Ride-share (XL) | Per trip | $28–$70 | 5–6 passengers | Surge varies |
| Taxi (Zone 1) | Flat zone | $23 | Airport to Strip | Official zone pricing |
| Taxi (Zone 2) | Flat zone | $27 | Airport to Mid-Strip | Excludes tip |
| Monorail | Per day | $13 | Unlimited day pass | Non-private |
| Parking (casino self-park) | Per day | $10–$25 | Property dependent | Not transport fare |
