# World War II Timeline Toward Hiroshima (European Front Turning Points Included)

| Date | Theater | Event (chronological) | Why it matters |
|---|---|---|---|
| 1940-05-10 | Europe | Germany invades France and the Low Countries | Reshapes Allied priorities |
| 1941-06-22 | Europe | Operation Barbarossa begins | Opens massive Eastern Front |
| 1941-12-07 | Pacific | Attack on Pearl Harbor | Brings U.S. into war with Japan |
| 1942-10-23 | Europe/N. Africa | Second Battle of El Alamein begins | Major Axis setback |
| 1943-02-02 | Europe | Battle of Stalingrad ends | Strategic turning point in Europe |
| 1944-06-06 | Europe | D-Day landings in Normandy | Western Front opened |
| 1945-05-08 | Europe | VE Day (Germany surrenders) | War ends in Europe |
| 1945-08-06 | Pacific | Atomic bombing of Hiroshima | Catastrophic escalation |
| 1945-08-15 | Pacific | Japan announces surrender | End of Pacific War |
