# Exchange Server and Hybrid Components Version Build Tracking

| Component | Baseline (on-premises-only) build | Hybrid readiness build | Release channel | Notes |
| --- | --- | --- | --- | --- |
| Exchange Server 2010 SP3 | 14.3.123.4 | 14.3.513.0 | Update Rollup | Required for Hybrid Wizard |
| Exchange Server 2013 CU | 15.0.847.32 | 15.0.1497.2 | Cumulative Update | Must be in supported hybrid range |
| Exchange Server 2016 CU | 15.1.1034.26 | 15.1.2507.6 | Cumulative Update | Security updates recommended |
| Exchange Server 2019 CU | 15.2.330.5 | 15.2.1544.4 | Cumulative Update | Modern hybrid supported |
| Hybrid Configuration Wizard | 17.0.0.0 | 17.1.0.0 | Tool version | Newer versions add OAuth flows |
| Azure AD Connect | 2.0.3.0 | 2.2.1.0 | Agent version | Sync prerequisites |
| AD FS (if used) | 3.0 | 4.0 | Windows Server role | Impacts authentication |
| .NET Framework on Exchange | 4.7.2 | 4.8 | Runtime | Compatibility gate |
| TLS baseline | TLS 1.0 enabled | TLS 1.2 enforced | Security policy | Affects connectors |
