# Keno
> Odds

| Hits | Odds |
| --- | --- |
| 0 | 1 in 843.380 (0.11857057%) |
| 1 | 1 in 86.446 (1.15678605%) |
| 2 | 1 in 20.115 (4.97142576%) |
| 3 | 1 in 8.009 (12.48637168%) |
| 4 | 1 in 4.877 (20.50318987%) |
| 5 | 1 in 4.287 (23.32807380%) |
| 6 | 1 in 5.258 (19.01745147%) |
| 7 | 1 in 8.826 (11.32954556%) |
| 8 | 1 in 20.055 (4.98618021%) |
| 9 | 1 in 61.420 (1.62814048%) |
| 10 | 1 in 253.801 (0.39401000%) |
| 11 | 1 in 1,423.822 (0.07023351%) |
| 12 | 1 in 10,968.701 (0.00911685%) |
| 13 | 1 in 118,084.920 (0.00084685%) |
| 14 | 1 in 1,821,881.628 (0.00005489%) |
| 15 | 1 in 41,751,453.986 (0.00000240%) |
| 16 | 1 in 1,496,372,110.872 (0.00000007%) |
| 17 | 1 in 90,624,035,964.712 |
| 18 | 1 in 10,512,388,171,906.553 |
| 19 | 1 in 2,946,096,785,176,811.500 |
| 20 | 1 in 3,535,316,142,212,173,800.000 |
