# Art Institute Campus Tuition Comparison with Local Benchmarks (USD per Academic Year)

| Location | Institution/Benchmark | Type | Student Level | Tuition (USD) | Included Items | Comparison Use |
| --- | --- | --- | --- | ---: | --- | --- |
| Pittsburgh, PA | The Art Institute of Pittsburgh | Art Institute campus | Undergraduate | 17,632 | Tuition only | Compare AI campus pricing vs other PA benchmarks |
| Pittsburgh, PA | Private For-Profit 4 Yr College in PA (avg) | Benchmark | Undergraduate | 16,766 | Tuition only | Local sector benchmark |
| Pittsburgh, PA | College in PA (avg) | Benchmark | Undergraduate | 20,845 | Tuition only | Overall state benchmark |
| Atlanta, GA | The Art Institute of Atlanta | Art Institute campus | Undergraduate | 17,596 | Tuition only | Compare AI campus pricing vs other GA benchmarks |
| Atlanta, GA | Private For-Profit 4 Yr College in GA (avg) | Benchmark | Undergraduate | 15,392 | Tuition only | Local sector benchmark |
| Atlanta, GA | College in GA (avg) | Benchmark | Undergraduate | 11,543 | Tuition only | Overall state benchmark |
| Philadelphia, PA | The Art Institute of Philadelphia | Art Institute campus | Undergraduate | 17,920 | Tuition only | Compare AI campus pricing vs other PA benchmarks |
| Philadelphia, PA | Private For-Profit 4 Yr College in PA (avg) | Benchmark | Undergraduate | 16,766 | Tuition only | Local sector benchmark |
| Philadelphia, PA | College in PA (avg) | Benchmark | Undergraduate | 20,845 | Tuition only | Overall state benchmark |
