# External Debt Stock by Country (Current US$, End-of-Year)

| Rank | Country/Region | Reference year | External debt stock (current US$) |
|---:|---|---:|---:|
| 1 | United States | 2020 | 30,500,000,000,000 |
| 2 | United Kingdom | 2020 | 10,200,000,000,000 |
| 3 | France | 2020 | 7,100,000,000,000 |
| 4 | Germany | 2020 | 6,400,000,000,000 |
| 5 | Netherlands | 2020 | 4,900,000,000,000 |
| 6 | Luxembourg | 2020 | 4,300,000,000,000 |
| 7 | Japan | 2020 | 3,900,000,000,000 |
| 8 | Ireland | 2020 | 3,100,000,000,000 |
| 9 | Italy | 2020 | 2,800,000,000,000 |
| 10 | Spain | 2020 | 2,600,000,000,000 |
| 11 | Canada | 2020 | 2,300,000,000,000 |
| 12 | Australia | 2020 | 1,900,000,000,000 |
