# Metric Tap-Drill Size Chart (Common Coarse Threads, ~75% Thread Engagement)

| Thread designation (ISO Metric) | Pitch (mm) | Recommended tap drill (mm) | Notes |
| --- | --- | --- | --- |
| M3 × 0.5 | 0.50 | 2.50 | Standard coarse |
| M4 × 0.7 | 0.70 | 3.30 | Standard coarse |
| M5 × 0.8 | 0.80 | 4.20 | Standard coarse |
| M6 × 1.0 | 1.00 | 5.00 | Standard coarse |
| M8 × 1.25 | 1.25 | 6.80 | Standard coarse |
| M10 × 1.5 | 1.50 | 8.50 | Standard coarse |
| M12 × 1.75 | 1.75 | 10.20 | Standard coarse |
| M16 × 2.0 | 2.00 | 14.00 | Standard coarse |
| M20 × 2.5 | 2.50 | 17.50 | Standard coarse |
