# County School Calendar Overview (Key Start Dates Only)

| Category | Event | Date |
| --- | --- | --- |
| Term Dates | Autumn Term begins | 5 Sep 2024 |
| Term Dates | Spring Term begins | 6 Jan 2025 |
| Term Dates | Summer Term begins | 22 Apr 2025 |
| Holidays | Autumn half-term starts | 26 Oct 2024 |
| Holidays | Christmas holiday starts | 21 Dec 2024 |
| Holidays | Spring half-term starts | 15 Feb 2025 |
| Holidays | Easter holiday starts | 5 Apr 2025 |
| Holidays | Summer half-term starts | 24 May 2025 |
| Holidays | Summer holiday starts | 19 Jul 2025 |
| Staff Days | INSET day (school closed) | 2 Sep 2024 |
| Staff Days | INSET day (school closed) | 3 Sep 2024 |
