# Europe  Largest Banking Groups (Regional List with Ranks, Not Global Positions)

| Rank (Europe) | Bank | Home Country | Total Assets (EUR bn) | Primary Business |
| --- | --- | --- | ---: | --- |
| 1 | BNP Paribas | France | 2600 | Universal banking |
| 2 | Crédit Agricole Group | France | 2400 | Retail & cooperative |
| 3 | HSBC Holdings plc | United Kingdom | 2300 | International banking |
| 4 | Santander | Spain | 1800 | Retail banking |
| 5 | Barclays | United Kingdom | 1600 | Corporate & investment |
| 6 | Société Générale | France | 1500 | Universal banking |
| 7 | Deutsche Bank | Germany | 1400 | Corporate & investment |
| 8 | ING Group | Netherlands | 1000 | Retail & wholesale |
| 9 | UniCredit | Italy | 900 | Eurozone retail |
| 10 | UBS Group | Switzerland | 1100 | Wealth management |
