# VSEPR Quick Lookup  Molecular Shape Outcomes for Common Electron-Domain Counts (Derived Shapes, Not Just Electron Geometry)

| Total electron domains (steric number) | Bonding groups (X) | Lone pairs (E) | AXE notation | Resulting molecular shape (derived) | Notes / where lone pairs prefer |
| --- | --- | --- | --- | --- | --- |
| 2 | 2 | 0 | AX2E0 | Linear | No lone pairs |
| 3 | 3 | 0 | AX3E0 | Trigonal planar | No lone pairs |
| 3 | 2 | 1 | AX2E1 | Bent | Lone pair occupies one trigonal-planar position |
| 4 | 4 | 0 | AX4E0 | Tetrahedral | No lone pairs |
| 4 | 3 | 1 | AX3E1 | Trigonal pyramidal | Lone pair compresses bond angles |
| 4 | 2 | 2 | AX2E2 | Bent | Two lone pairs increase repulsion, smaller angles |
| 5 | 5 | 0 | AX5E0 | Trigonal bipyramidal | No lone pairs |
| 5 | 4 | 1 | AX4E1 | Seesaw | Lone pair usually takes an equatorial site |
| 5 | 3 | 2 | AX3E2 | T-shaped | Two lone pairs usually equatorial |
| 5 | 2 | 3 | AX2E3 | Linear | Three lone pairs usually equatorial |
| 6 | 6 | 0 | AX6E0 | Octahedral | No lone pairs |
| 6 | 5 | 1 | AX5E1 | Square pyramidal | Lone pair opposite the square base |
| 6 | 4 | 2 | AX4E2 | Square planar | Lone pairs trans to minimize repulsion |
| 7 | 7 | 0 | AX7E0 | Pentagonal bipyramidal | No lone pairs |
| 7 | 6 | 1 | AX6E1 | Pentagonal pyramidal | Lone pair often placed axial (model-dependent) |
