# Pest-Repelling Plants and Their Key Growth Traits (Focus on Plant Characteristics)

| Plant | Primary Repelled Pest(s) | Height (Typical) | Sun | Spread / Habit | Notes |
| --- | --- | --- | --- | --- | --- |
| Chives | Aphids; Japanese beetles; carrot fly | 8–18 in | Full sun | Clumping | Common edging herb |
| Chrysanthemum | Roaches; ants; ticks | 1–3 ft | Full sun | Mounding | Often grown as seasonal color |
| Lemon thyme | Mosquitoes | 2–4 in | Full sun | Groundcover | Low mat-former |
| Lime basil | Mosquitoes | 12–24 in | Full sun | Upright | Tender annual in many climates |
| Lettuce | Carrot fly | 6–12 in | Part sun | Rosette | Cool-season crop |
| Citronella grass | Mosquitoes (insects) | 3–6 ft | Full sun | Clumping grass | Needs warmth to thrive |
| Mexican marigold | Insects; rabbits | 1–2 ft | Full sun | Bushy | Strong scent foliage |
| Rosemary | Mosquitoes; flies | 2–5 ft | Full sun | Shrubby | Can be overwintered indoors |
| Lavender | Moths; mosquitoes | 1–3 ft | Full sun | Shrubby | Requires well-drained soil |
| Mint | Ants; mosquitoes | 6–24 in | Part sun | Spreading | Best contained in pots |
