# Plane Symmetry Groups (2D Point Groups) and Typical Examples

| Schoenflies symbol | International notation | Group order | Rotations included | Mirror lines included | Example object (not a specific shape row) |
|---|---|---:|---|---|---|
| C1 | 1 | 1 | identity only | none | generic asymmetric motif |
| C2 | 2 | 2 | 180° rotation | none | generic 2-fold motif |
| C3 | 3 | 3 | 120° rotations | none | generic 3-fold motif |
| C4 | 4 | 4 | 90° rotations | none | generic 4-fold motif |
| C6 | 6 | 6 | 60° rotations | none | generic 6-fold motif |
| D1 | m | 2 | identity only | 1 mirror line | generic mirror-symmetric motif |
| D2 | 2mm | 4 | 180° rotation | 2 mirror lines | generic rectangular motif |
| D3 | 3m | 6 | 120° rotations | 3 mirror lines | generic triangular motif |
| D4 | 4mm | 8 | 90° rotations | 4 mirror lines | generic square motif |
| D6 | 6mm | 12 | 60° rotations | 6 mirror lines | generic hexagonal motif |
