# YouTube Channel Popularity — Earnings and Subscribers Comparison (Global)

| Rank | Channel | Subscribers | Est. Monthly Earnings (USD) | Est. Yearly Earnings (USD) |
| --- | --- | --- | --- | --- |
| 1 | MrBeast | 240,000,000 | 3,000,000–10,000,000 | 36,000,000–120,000,000 |
| 2 | T-Series | 260,000,000 | 1,500,000–6,000,000 | 18,000,000–72,000,000 |
| 3 | Cocomelon – Nursery Rhymes | 180,000,000 | 1,000,000–4,000,000 | 12,000,000–48,000,000 |
| 4 | SET India | 175,000,000 | 900,000–3,500,000 | 10,800,000–42,000,000 |
| 5 | Kids Diana Show | 120,000,000 | 500,000–2,000,000 | 6,000,000–24,000,000 |
| 6 | Like Nastya | 115,000,000 | 450,000–1,800,000 | 5,400,000–21,600,000 |
| 7 | WWE | 100,000,000 | 400,000–1,600,000 | 4,800,000–19,200,000 |
| 8 | Blackpink | 95,000,000 | 350,000–1,500,000 | 4,200,000–18,000,000 |
| 9 | 5-Minute Crafts | 80,000,000 | 250,000–1,100,000 | 3,000,000–13,200,000 |
| 10 | PewDiePie | 110,000,000 | 200,000–900,000 | 2,400,000–10,800,000 |
