# Spring Materials — Mechanical Properties with Processing   Heat Treatment Conditions

| Material | Condition | Elastic Modulus (GPa) | Yield Strength (MPa) | Tensile Strength (MPa) | Hardness (HRC) | Elongation (%) | Heat Treatment / Processing |
|---|---|---:|---:|---:|---:|---:|---|
| AISI 1075 | Annealed | 205 | 410 | 740 | 18 | 20 | Anneal 760°C, slow cool |
| AISI 1075 | Quenched & tempered | 205 | 1250 | 1500 | 45 | 8 | Oil quench, temper 450°C |
| AISI 5160 | As-rolled | 205 | 620 | 900 | 26 | 14 | Hot rolled plate |
| AISI 5160 | Q&T | 205 | 1400 | 1650 | 48 | 7 | Oil quench, temper 425°C |
| 17-7PH | Condition A | 196 | 620 | 1030 | 35 | 10 | Solution treated |
| 17-7PH | TH1050 | 196 | 1200 | 1400 | 44 | 6 | Precipitation harden 565°C |
| Ti-6Al-4V | Annealed | 114 | 880 | 950 | 34 | 10 | Mill anneal |
| Ti-6Al-4V | STA | 114 | 1050 | 1150 | 38 | 8 | Solution treat + age |
| CuBe C17200 | Peak aged | 131 | 1030 | 1240 | 38 | 6 | Age harden |
| CuBe C17200 | Solution treated | 131 | 450 | 700 | 20 | 20 | Solution treat + quench |
